Systematic Name,TPM Glucose,TPM YEP,TPM Galactose,TPM Glucose_2,TPM YEP_2,TPM Galactose_2
Q0010,0.0622012,0,0.118834,0,0.0354856,0
Q0017,0,0,0,0,0,0
Q0032,0,0,0.147128,0,0,0
Q0045,0.0422204,0.635963,0.478033,0.0475825,0.233971,0.216703
Q0050,0.175387,1.37841,0.866002,0.111992,0.908924,0.484686
Q0055,0.0992339,1.15607,0.676601,0.122232,0.656914,0.439259
Q0060,0,0.082815,0.0157627,0.00991584,0.0591156,0.0465924
Q0065,0.0131308,0.137584,0.0506002,0.0179362,0.0326383,0.0353188
Q0070,0,0,0.00787409,0,0.0122725,0
Q0075,0.0146025,0.0465317,0.0371973,0,0.0583149,0.0209307
Q0080,0,0,0,0,0,0
Q0085,0.0861088,0.329268,0.191928,0.0170901,0.0982496,0.123425
Q0092,0,0,0,0,0,0
Q0105,0.0396461,0.596099,0.440856,0.0839316,0.39829,0.198898
Q0110,0,0.0421975,0,0,0.00834526,0.0126911
Q0115,0.00940934,0.00816066,0.00828716,0,0.00652608,0
Q0120,0,0.0155089,0.0485128,0,0.0115519,0.0186924
Q0130,0.248805,4.91553,5.54561,0.790087,6.3874,3.20964
Q0140,0.624132,0.291586,0.404675,0.252238,0.188513,0.209492
Q0142,0,0,0,0,0,0
Q0143,0,0,0,0,0,0
Q0144,0,0,0,0,0,0
Q0160,0.0489144,0.296149,0.249201,0.0776645,0.209291,0.122696
Q0182,0,0.0729682,0.10937,0,0.0653186,0
Q0250,0.0224226,0.643056,0.528336,0.0712037,0.575641,0.224978
Q0255,0,0.0132991,0.0465116,0,0.0476194,0.00747767
Q0275,0,0.509621,0.430893,0,0.456195,0.308587
Q0297,0,0.158566,0,0,0.141942,0.0594379
YAL001C,4.60891,5.53022,4.66821,5.10137,7.10176,6.99071
YAL002W,4.35756,5.06575,4.22807,4.39467,6.19672,5.96367
YAL003W,1592.76,832.488,899.88,1724.62,806.9,1013.47
YAL004W,0,0,0,0,0,0
YAL005C,64.8231,245,136.483,128.706,315.021,276.544
YAL007C,69.7651,57.7355,57.4108,83.921,63.9267,71.9642
