Intergenic Region	Chr	Start	End	Left Feature	Right Feature	Left Common Name	Right Common Name	TPH	Log TPH	TPH BS	Log TPH BS	CHG pvalue	Poisson pvalue	Background Hops	Experiment Hops	Fraction Background	Fraction Experiment	EB ratio	Background Hops Lax	Experiment Hops Lax	TPH Lax	TPH Lax BS	CHG pvalue Lax	Poisson pvalue Lax
Chr12: 289251-290213	12.0	289251.0	290213.0	YLR080W	YLR081W	EMP46	GAL2	5293.505721503938	12.370007774843639	5223.260730068053	12.350735005333348	5.6781246371429006e-11	0.0	73	1781	0.0007024499143588461	0.05293505721503938	75.35776734111401	77	1791	5323.227819884084	5249.133787821575	0.0	0.0
Chr2: 275527-276253	2.0	275527.0	276253.0	YBR018C	YBR019C	GAL7	GAL10	4190.815871600535	12.033015421028177	4150.400945020984	12.019034997857236	0.0	0.0	42	1410	0.0004041492657955005	0.04190815871600535	103.6947540496359	49	1431	4253.2322781988405	4206.081530522699	1.7975809729620096e-10	0.0
Chr11: 613527-615372	11.0	613527.0	615372.0	YKR092C	YKR093W	SRP40	PTR2	3257.541982463962	11.669568056702548	3173.825348834894	11.632007025531342	2.8230073834123459e-10	0.0	87	1096	0.0008371663362906795	0.03257541982463962	38.91152619558849	91	1096	3257.541982463962	3169.9763082082704	1.3308654178700863e-10	0.0
Chr11: 229524-231871	11.0	229524.0	231871.0	YKL110C	YKL109W	KTI12	HAP4	2603.655818100758	11.346323033343195	2484.3355586754196	11.278644335894089	0.0	0.0	124	876	0.0011932025942533824	0.02603655818100758	21.8207354781183	124	876	2603.655818100758	2484.3355586754196	0.0	0.0
Chr4: 1488983-1490589	4.0	1488983.0	1490589.0	YDR524C	YDR525W-A	AGE1	SNA2	2565.017090206569	11.324752722920977	2469.7533346976293	11.270151245266087	0.0	0.0	99	863	0.0009526375550893939	0.025650170902065686	26.925424853378487	111	917	2725.516421459355	2618.7055440705444	6.0590865658127768e-11	0.0
Chr2: 278352-279021	2.0	278352.0	279021.0	YBR019C	YBR020W	GAL10	GAL1	2526.378362312379	11.302855004767085	2506.170899022604	11.291269081909951	1.250126668850271e-10	0.0	21	850	0.00020207463289775024	0.025263783623123794	125.02204388963195	24	929	2761.1829395155296	2738.088695755787	0.0	0.0
Chr4: 368211-369769	4.0	368211.0	369769.0	YDL048C	YDL047W	STP4	SIT4	1952.7418635755685	10.931285534064351	1877.6855713564041	10.874739780761514	0.0	0.0	78	657	0.0007505629221916438	0.019527418635755685	26.017030762371824	78	657	1952.7418635755685	1877.6855713564041	0.0	0.0
Chr5: 117474-120498	5.0	117474.0	120498.0	YEL020W-A	YEL019C	TIM9	MMS21	1328.57779759251	10.375666994925339	1287.2006108563041	10.330021200484275	0.0	0.0	43	447	0.00041377186736206	0.0132857779759251	32.10894462358345	45	448	1331.5500074305246	1288.2483003810066	0.0	0.0
Chr12: 442738-445525	12.0	442738.0	445525.0	YLR151C	YLR153C	PCD1	ACS2	1028.384603953039	10.006164201378745	989.8941976868009	9.9511305244320525	2.3807622540061857e-11	0.0	40	346	0.0003849040626623814	0.01028384603953039	26.71794620300193	41	346	1028.384603953039	988.9319375301449	5.2021498220256035e-11	0.0
Chr1: 67521-68717	1.0	67521.0	68717.0	YAL040C	YAL039C	CLN3	CYC3	897.6073710803983	9.8099407130670997	850.4566234042566	9.7320938444812164	2.1146617790179789e-10	0.0	49	302	0.0004715074767614172	0.008976073710803983	19.036970044370847	60	579	1720.9094962104325	1663.1738868110754	0.0	0.0
