Intergenic Region	Chr	Start	End	Left Feature	Right Feature	Left Common Name	Right Common Name	TPH	Log TPH	TPH BS	Log TPH BS	CHG pvalue	Poisson pvalue	Background Hops	Experiment Hops	Fraction Background	Fraction Experiment	EB ratio	Background Hops Lax	Experiment Hops Lax	TPH Lax	TPH Lax BS	CHG pvalue Lax	Poisson pvalue Lax
Chr2: 275527-276253	2.0	275527.0	276253.0	YBR018C	YBR019C	GAL7	GAL10	4766.907419566644	12.218837891057907	4726.492492987094	12.206554248330912	0.0	0.0	42	1089	0.0004041492657955005	0.04766907419566645	117.94917925147735	49	1184	5182.753337710659	5135.602590034518	1.1322243143041533e-10	0.0
Chr2: 278352-279021	2.0	278352.0	279021.0	YBR019C	YBR020W	GAL10	GAL1	3978.988837820092	11.958186136535108	3958.781374530317	11.950840680751973	4.3651304793002055e-11	0.0	21	909	0.00020207463289775024	0.03978988837820092	196.90689428759026	24	1341	5869.993434011819	5846.899190252076	0.0	0.0
Chr12: 289251-290213	12.0	289251.0	290213.0	YLR080W	YLR081W	EMP46	GAL2	3247.975486977457	11.665325028961805	3177.7304955415725	11.633781059054977	0.0	0.0	73	742	0.0007024499143588461	0.032479754869774564	46.23782309009195	77	755	3304.8807178813745	3230.786685818866	6.1444183074854664e-12	0.0
Chr2: 280607-281443	2.0	280607.0	281443.0	YBR020W	YBR021W	GAL1	FUR4	1409.4987962355	10.460966530455618	1375.8196907525416	10.426075693435925	0.0	0.0	35	322	0.0003367910548295837	0.014094987962355001	41.85083825782447	38	340	1488.2906544101554	1451.7247684572292	0.0	0.0
Chr5: 117474-120498	5.0	117474.0	120498.0	YEL020W-A	YEL019C	TIM9	MMS21	805.4278835631429	9.6536116083980144	764.0506968269369	9.5775245579234927	0.0	0.0	43	184	0.00041377186736206	0.008054278835631428	19.465506166429986	45	186	814.182534471438	770.8808274219201	6.8057781632546721e-12	0.0
Chr16: 423889-427924	16.0	423889.0	427924.0	YPL069C	YPL065W	BTS1	VPS28	551.543007222587	9.1073295758409181	470.7131540634869	8.8787043594303121	0.0	0.0	84	126	0.000808298531591001	0.00551543007222587	6.823506237688772	85	126	551.543007222587	469.7508939068309	0.0	0.0
Chr15: 586325-586982	15.0	586325.0	586982.0	YOR138C	YOR140W	RUP1	SFL1	529.6563799518494	9.048912889615595	514.2602174453542	9.0063547426208146	1.735099841582155e-10	0.0	16	121	0.00015396162506495255	0.005296563799518495	34.40184394834756	18	126	551.543007222587	534.2223244027798	0.0	0.0
Chr12: 442738-445525	12.0	442738.0	445525.0	YLR151C	YLR153C	PCD1	ACS2	481.5057999562268	8.9114093658656603	443.0153936899886	8.7912130195129414	0.0	0.0	40	110	0.0003849040626623814	0.004815057999562267	12.50976143576275	41	111	485.88312541037425	446.43045898748016	0.0	0.0
Chr13: 171310-171594	13.0	171310.0	171594.0	YML052W	YML051W	SUR7	GAL80	459.61917268548916	8.8442951700071237	431.7136281424665	8.7539308256438648	0.0	0.0	29	105	0.0002790554454302265	0.004596191726854892	16.47053229786945	33	114	499.0151017728168	467.26051660317034	0.0	0.0
Chr4: 368211-369769	4.0	368211.0	369769.0	YDL048C	YDL047W	STP4	SIT4	437.7325454147516	8.7739058421157257	362.6762531955872	8.5025384754233286	1.3181122859862171e-11	0.0	78	100	0.0007505629221916438	0.004377325454147516	5.832056613409207	78	100	437.7325454147516	362.6762531955872	1.3181122859862171e-11	0.0
Chr2: 273703-274427	2.0	273703.0	274427.0	YBR017C	YBR018C	KAP104	GAL7	389.5819654191289	8.6057830833073989	364.5632013460741	8.5100251342707303	0.0	0.0	26	89	0.0002501876407305479	0.0038958196541912893	15.571591157802583	34	105	459.61917268548916	426.90232735918676	9.3645535770292554e-11	0.0
Chr11: 613527-615372	11.0	613527.0	615372.0	YKR092C	YKR093W	SRP40	PTR2	376.4499890566864	8.5563144070430983	292.73335542761845	8.1934433324065932	0.0	0.0	87	86	0.0008371663362906795	0.0037644998905668635	4.496716754338961	91	86	376.4499890566864	288.8843148009946	8.4589113491517764e-11	0.0
Chr12: 424775-425187	12.0	424775.0	425187.0	YLR141W	YLR142W	RRN5	PUT1	363.3180126942438	8.5050890836879258	345.0350697177807	8.43059919611939	6.2213789675524822e-11	0.0	19	83	0.00018282942976463116	0.003633180126942438	19.87196553432169	36	102	446.48719632304665	411.8458306834323	7.5754957862272931e-11	0.0
Chr15: 550247-551115	15.0	550247.0	551115.0	YOR119C	YOR120W	RIO1	GCY1	363.3180126942438	8.5050890836879258	282.4881595351437	8.1420465881417581	9.6429975116052447e-11	0.0	84	83	0.000808298531591001	0.003633180126942438	4.494849347048953	89	83	363.3180126942438	277.67685875186396	5.9720894896031496e-11	0.0
Chr7: 255299-255668	7.0	255299.0	255668.0	YGL135W	YGL134W	RPL1B	PCL10	354.5633617859488	8.4698996552256265	336.2804188094857	8.3935209647471432	0.0	0.0	19	81	0.00018282942976463116	0.003545633617859488	19.393122991325985	20	83	363.3180126942438	344.07280956112476	0.0	0.0
Chr5: 44925-47168	5.0	44925.0	47168.0	YEL058W	YEL056W	PCM1	HAT2	354.5633617859488	8.4698996552256265	300.6767930132154	8.2320697111725956	1.735099841582155e-10	0.0	56	81	0.000538865687727334	0.003545633617859488	6.579809586342744	59	82	358.9406872400963	302.167337997395	0.0	0.0
Chr2: 269503-270947	2.0	269503.0	270947.0	YBR015C	YBR017C	MNN2	KAP104	332.6767345152112	8.3779771657845856	311.50701106878023	8.2831208240363061	0.0	0.0	22	76	0.00021169723446430976	0.003326767345152112	15.714741638313537	25	81	354.5633617859488	330.50685786955	0.0	0.0
Chr14: 488125-488387	14.0	488125.0	488387.0	YNL074C	YNL073W	MLF3	MSK1	310.79010724447363	8.2797967718456835	298.28072520794626	8.2205269440306505	0.0	0.0	13	71	0.00012509382036527395	0.003107901072444736	24.84456117312322	16	76	332.6767345152112	317.2805720087159	1.1464984517317589e-10	0.0
Chr3: 224730-228314	3.0	224730.0	228314.0	YCR060W	YCR063W	TAH1	BUD31	306.4127817903261	8.2593326692859677	240.0168309810653	7.9069917669481837	9.3645646792595016e-11	0.0	69	70	0.0006639595080926079	0.003064127817903261	4.61493175495859	71	70	306.4127817903261	238.0923106677534	0.0	0.0
Chr4: 1488983-1490589	4.0	1488983.0	1490589.0	YDR524C	YDR525W-A	AGE1	SNA2	267.01685270299845	8.0607869899038871	171.75309719405905	7.4241923049241922	1.4253020985677267e-09	2.152167333235866e-12	99	61	0.0009526375550893939	0.002670168527029985	2.802921754202122	111	63	275.7715036112935	168.96062622248266	9.8806897108616454e-09	2.7394198021113425e-11
Chr12: 783387-784913	12.0	783387.0	784913.0	YLR327C	YLR328W	TMA10	NMA1	262.639527248851	8.03694024794952	185.6587147163747	7.5365092258562258	5.5244586683045327e-11	8.8817841970012523e-16	80	60	0.0007698081253247628	0.0026263952724885093	3.411753118844386	82	60	262.639527248851	183.7341944030628	4.3574921448907844e-11	2.6645352591003757e-15
Chr5: 420705-423948	5.0	420705.0	423948.0	YER129W	YER131W	SAK1	RPS26B	253.88487634055593	7.9880306474685732	168.2437223981761	7.3944088649878417	8.5618612200022426e-10	8.0113693456951296e-13	89	58	0.0008564115394237987	0.002538848763405559	2.964519563939691	92	58	253.88487634055593	165.3569419282082	2.0282064916443687e-09	2.9196645101592367e-12
Chr14: 199978-200570	14.0	199978.0	200570.0	YNL240C	YNL239W	NAR1	LAP3	253.88487634055593	7.9880306474685732	228.86611226750114	7.8383600516069869	0.0	0.0	26	58	0.0002501876407305479	0.002538848763405559	10.14777850733202	34	60	262.639527248851	229.92268192254858	1.6987711237703707e-10	0.0
Chr1: 69526-71787	1.0	69526.0	71787.0	YAL039C	YAL038W	CYC3	CDC19	218.8662727073758	7.7739058421157257	96.6592328120697	6.5948356389741791	0.00054662529697713236	6.6695066337607578e-05	127	50	0.001222070398953061	0.002188662727073758	1.790946519078418	131	51	223.24359816152332	97.18751763959341	0.00059390457917829487	7.5227578343883827e-05
Chr15: 988779-989786	15.0	988779.0	989786.0	YOR348C	YOR349W	PUT4	CIN1	218.8662727073758	7.7739058421157257	119.75347657181258	6.9039237293278966	9.2461872885918339e-06	2.7003037184059053e-07	103	50	0.000991127961355632	0.002188662727073758	2.2082544458539717	116	54	236.37557452396587	124.75339635187525	1.0596247581262652e-05	3.4914660429485878e-07
Chr2: 301254-304930	2.0	301254.0	304930.0	YBR031W	YBR034C	RPL4A	HMT1	218.8662727073758	7.7739058421157257	172.67778518789004	7.4319386834074885	0.0	0.0	48	50	0.0004618848751948577	0.002188662727073758	4.738545998394981	52	50	218.8662727073758	168.8287445612662	6.3196448074620548e-11	0.0
Chr13: 540055-541198	13.0	540055.0	541198.0	YMR135C	YMR136W	GID8	GAT2	214.48894725322828	7.7447594964562088	148.09299644396748	7.2103596046454417	2.0840679182398958e-09	2.127853448996575e-12	69	49	0.0006639595080926079	0.002144889472532283	3.2304522284710133	73	49	214.48894725322828	144.24395581734365	8.9921095014489083e-09	1.4617085319912348e-11
